fs2-io,150869,383655408
fs2-io,152429,383746592
fs2-io,153111,383687792
fs2-io,151580,383835704
fs2-io,154907,383216056
fs2-io,151355,383738248
fs2-io,172429,382614680
fs2-io,151086,384016072
fs2-io,153354,383759216
fs2-io,156165,383908944
Java StdLib,70928,281796904
Java StdLib,73177,282399064
Java StdLib,74109,160508272
Java StdLib,74287,230711832
Java StdLib,71218,230449080
Java StdLib,69598,229929560
Java StdLib,73017,352165072
Java StdLib,72423,352017632
Java StdLib,75222,282762112
Java StdLib,71728,230359368
Scala StdLib,57478,383669008
Scala StdLib,127079,383503928
Scala StdLib,124021,383514616
Scala StdLib,129218,383067616
Scala StdLib,124492,383369064
Scala StdLib,126436,383532448
Scala StdLib,124408,383594344
Scala StdLib,123403,383425376
Scala StdLib,124706,383656248
Scala StdLib,125385,383532920
better-files,127401,383420800
better-files,124094,383408040
better-files,118906,383268488
better-files,124122,383291160
better-files,126309,383607968
better-files,130697,383523648
better-files,127887,383569960
better-files,120294,383354272
better-files,126288,383384496
better-files,124284,383309736
Akka Streams,229700,383925360
Akka Streams,229812,386296192
Akka Streams,231687,383594432
Akka Streams,234409,383807176
Akka Streams,232100,385993992
Akka Streams,228593,383749528
Akka Streams,233194,383584328
Akka Streams,235498,383575008
Akka Streams,231107,383674096
Akka Streams,234095,384118776
fs2-core,147005,383637600
fs2-core,139598,383563608
fs2-core,146088,383701288
fs2-core,140403,383584680
fs2-core,140590,383526616
fs2-core,141205,383339336
fs2-core,139678,383791312
fs2-core,138826,384995680
fs2-core,142815,383317032
fs2-core,140392,383465152
fs2-core,140303,383498016
fs2-core,140086,383426320
fs2-core,139614,383509952
fs2-core,142710,383603744
fs2-core,151375,383498136
fs2-core,71538,383361280
fs2-core,88216,384091416
fs2-core,141990,383367168
fs2-core,139111,383386536
fs2-core,149206,383400680
Akka Streams,234575,383520968
Akka Streams,220499,383651488
Akka Streams,229189,383613392
Akka Streams,228785,387225328
Akka Streams,227091,383691144
Akka Streams,227798,383833544
Akka Streams,232289,383617424
Akka Streams,228618,385989008
Akka Streams,231767,384476848
Akka Streams,234986,383576360
Java StdLib,213226,354110032
Java StdLib,211797,354554408
Java StdLib,190489,354529848
Java StdLib,190596,354582016
Java StdLib,184715,354466672
Java StdLib,195091,354492952
Java StdLib,189326,354442080
Java StdLib,186409,354060896
Java StdLib,210303,354654800
Java StdLib,190416,354341352
Scala StdLib,122998,383547624
Scala StdLib,123414,382790472
Scala StdLib,125383,383529440
Scala StdLib,124315,383320696
Scala StdLib,121724,383439584
Scala StdLib,124593,383605280
Scala StdLib,123320,383491688
Scala StdLib,124212,383399152
Scala StdLib,123683,383359872
Scala StdLib,120478,383356536
fs2-io,790685,383595392
fs2-io,754001,383749144
fs2-io,774469,383595576
fs2-io,762092,384213728
fs2-io,754799,383595096
fs2-io,775000,383578824
fs2-io,751803,383651328
fs2-io,643526,383741496
fs2-io,776288,383536608
fs2-io,759760,383533136
better-files,126910,383280552
better-files,125199,383584032
better-files,125394,383374984
better-files,119603,382651352
better-files,124099,383285128
better-files,124105,383343504
better-files,125295,383469736
better-files,124090,383584480
better-files,129192,383593512
better-files,122780,383232032
fs2-io,769699,383683888
fs2-io,751316,384199736
fs2-io,758882,383620512
fs2-io,759696,383541336
fs2-io,776992,383637760
fs2-io,750004,383652384
fs2-io,756108,383728880
fs2-io,711504,383382160
fs2-io,855685,383553448
fs2-io,758197,383699296
fs2-core,142697,383576376
fs2-core,144995,383767016
fs2-core,138607,383580440
fs2-core,142396,383324400
fs2-core,138202,383321408
fs2-core,320915,383272544
